code,group,sex,birth,age,grad,children,job,berlin,prev.home,uni1,uni2,uni3,uni4,uni5,uni6,uni7,uni8,mood1,mood2,mood3,mood4,mood5,mood6,mood7,mood8,mood9,mood10,mood11,mood12,ls13,ls14,ls15,ls16,ls17,proc,extra,agree,consc,neuro,intell,gb.1,gb.2,at.1,at.2,cn.1,cn.2,ls.1,ls.2,sat.con.1,sat.con.2,sat.circ.1,sat.circ.2,sat.stress.1,sat.stress.2
120,Group 4,female,1987,21,2007,no,no,yes,Berlin,yes,yes,no,no,yes,no,no,no,3,2,3,2,3,3,3,4,1,3,2,3,5,6,7,5,4,2.4,4.5,3.75,4,3.75,3,3.75,NA,2.75,NA,3.5,NA,27,NA,3.33333333333333,NA,2.66666666666667,NA,3,NA
121,Group 1,female,1987,21,2007,no,no,yes,West Germany,no,no,yes,yes,yes,no,no,yes,4,4,2,1,2,3,1,4,3,4,2,3,6,6,7,7,5,1.9,4,4.5,4.75,4.25,4,4.25,3.75,4.25,3.75,3.25,3.5,31,32,4,1.33333333333333,2.33333333333333,1.66666666666667,3,2.66666666666667
122,Group 4,female,1981,27,2000,no,yes,yes,Berlin,yes,yes,yes,no,yes,yes,yes,yes,5,3,3,1,1,3,3,5,3,3,1,2,6,5,7,6,6,1.3,2.25,4,5,2.5,3.75,5,NA,3.5,NA,2.75,NA,30,NA,4,NA,3,NA,3.33333333333333,NA
123,Group 1,female,1984,24,2003,no,no,yes,East Germany,yes,yes,no,yes,yes,yes,yes,yes,4,4,2,1,1,3,1,5,2,4,1,3,6,5,6,6,5,1.9,3.5,4,4.25,3.25,4,4.75,NA,4.5,NA,3.5,NA,28,NA,4,NA,1.66666666666667,NA,3.66666666666667,NA
124,Group 4,female,1975,33,1994,no,yes,yes,NA,yes,no,yes,no,no,no,NA,NA,4,3,2,2,4,2,4,3,4,2,3,2,5,5,5,5,4,3,3.25,3.75,4,3.75,4,3.5,NA,2.25,NA,2.5,NA,24,NA,3,NA,2.66666666666667,NA,2,NA
125,Group 2,female,1988,20,2007,no,yes,yes,Foreign Country,no,yes,yes,yes,yes,yes,yes,no,4,2,4,2,3,4,3,4,3,3,2,3,5,6,6,4,5,2.8,4.25,3.25,3.25,3.75,3.75,4,4.5,2.75,4.5,3,2.75,26,26,3,3,2.66666666666667,2.66666666666667,3,3.66666666666667
126,Group 4,male,1974,34,1994,no,yes,yes,NA,NA,no,yes,yes,no,yes,no,no,4,3,2,2,2,4,2,4,2,4,2,4,6,5,6,6,5,2.5,3,4,4,2.75,4,4,NA,3.75,NA,4,NA,28,NA,3,NA,3,NA,2.66666666666667,NA
127,Group 3,female,1969,39,1988,yes,yes,yes,East Germany,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,2,2,3,4,3,4,2,2,3,5,2,3,4,5,3.4,4,4,2,4,3.75,3.75,NA,2.5,NA,3,NA,19,NA,3.66666666666667,NA,3.33333333333333,NA,2.33333333333333,NA
128,Group 2,female,1989,19,2008,no,yes,yes,East Germany,no,yes,yes,yes,yes,yes,no,yes,3,3,3,2,2,4,4,4,2,2,3,3,5,6,6,6,7,2.4,3.5,3.5,4,4,4,3.5,NA,2.75,NA,3.5,NA,30,NA,4,NA,3,NA,3,NA
129,Group 1,male,1980,28,2004,no,yes,yes,Berlin,no,no,no,no,no,no,no,no,4,3,3,2,2,4,3,4,3,4,2,2,4,5,5,4,3,3.1,2.75,1,2.25,2,2.25,4,NA,3.5,NA,3,NA,21,NA,3,NA,3,NA,1.33333333333333,NA
